,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,address,state,city,zip_code,genre,category1,category2,category3,transactions1,transactions2,transactions3
0,yj1SHHhbW9-qmTXjofvZKQ,21-great-american-bistro-fairfax,21 Great American Bistro,https://s3-media3.fl.yelpcdn.com/bphoto/_DfN54ijsnsSRmfrwGE9Uw/o.jpg,False,https://www.yelp.com/biz/21-great-american-bistro-fairfax?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,557,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 38.8467363, 'longitude': -77.3054545}",['delivery'],$$,"{'address1': '10427 North St', 'address2': 'Ste 102', 'address3': '', 'city': 'Fairfax', 'zip_code': '22030', 'country': 'US', 'state': 'VA', 'display_address': ['10427 North St', 'Ste 102', 'Fairfax, VA 22030']}",+17035910146,(703) 591-0146,1374.147098864334,"['10427 North St', 'Ste 102', 'Fairfax, VA 22030']",VA,Fairfax,22030,"['American (New)', 'Cocktail Bars']",American (New),Cocktail Bars,,delivery,,
1,0SyL4Rsx6OA7I9u55Gpk5A,happy-thai-fairfax-3,Happy Thai,https://s3-media3.fl.yelpcdn.com/bphoto/Pt3Qr0wjauQ3BvXcW3GMLg/o.jpg,False,https://www.yelp.com/biz/happy-thai-fairfax-3?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,37,"[{'alias': 'thai', 'title': 'Thai'}]",5.0,"{'latitude': 38.874117, 'longitude': -77.237528}","['pickup', 'delivery']",,"{'address1': '8444 Lee Hwy', 'address2': '', 'address3': None, 'city': 'Fairfax', 'zip_code': '22031', 'country': 'US', 'state': 'VA', 'display_address': ['8444 Lee Hwy', 'Fairfax, VA 22031']}",+15713780071,(571) 378-0071,7046.031430509531,"['8444 Lee Hwy', 'Fairfax, VA 22031']",VA,Fairfax,22031,['Thai'],Thai,,,pickup,delivery,
2,ppmmV1FCM5vtjLe8rmzr1A,clarity-vienna,Clarity,https://s3-media2.fl.yelpcdn.com/bphoto/tlQOx0x3CtgWnIe-xP4rEw/o.jpg,False,https://www.yelp.com/biz/clarity-vienna?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,884,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'whiskeybars', 'title': 'Whiskey Bars'}]",4.5,"{'latitude': 38.90929, 'longitude': -77.25661}","['delivery', 'restaurant_reservation']",$$$,"{'address1': '442 Maple Ave E', 'address2': '', 'address3': '', 'city': 'Vienna', 'zip_code': '22180', 'country': 'US', 'state': 'VA', 'display_address': ['442 Maple Ave E', 'Vienna, VA 22180']}",+17035398400,(703) 539-8400,7806.753077919302,"['442 Maple Ave E', 'Vienna, VA 22180']",VA,Vienna,22180,"['American (New)', 'Wine Bars', 'Whiskey Bars']",American (New),Wine Bars,Whiskey Bars,delivery,restaurant_reservation,
3,eNDpiaho5bAf9Tx1c7TcQg,choong-man-chicken-fairfax-fairfax-3,Choong Man Chicken - Fairfax,https://s3-media4.fl.yelpcdn.com/bphoto/XjKA7pVh8Bq0UT4aze4qVQ/o.jpg,False,https://www.yelp.com/biz/choong-man-chicken-fairfax-fairfax-3?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,435,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'korean', 'title': 'Korean'}]",4.5,"{'latitude': 38.86676, 'longitude': -77.27454}","['pickup', 'delivery']",$$,"{'address1': '9528 Lee Hwy', 'address2': '', 'address3': None, 'city': 'Fairfax', 'zip_code': '22031', 'country': 'US', 'state': 'VA', 'display_address': ['9528 Lee Hwy', 'Fairfax, VA 22031']}",+17037720072,(703) 772-0072,3740.989608913353,"['9528 Lee Hwy', 'Fairfax, VA 22031']",VA,Fairfax,22031,"['Chicken Wings', 'Korean']",Chicken Wings,Korean,,pickup,delivery,
4,aCIOBhQUFZX2xn6JEkUTyg,meokja-meokja-fairfax-5,Meokja Meokja,https://s3-media4.fl.yelpcdn.com/bphoto/jeeHLjk93fY-HpzGQCI_Nw/o.jpg,False,https://www.yelp.com/biz/meokja-meokja-fairfax-5?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,492,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]",4.5,"{'latitude': 38.8642119, 'longitude': -77.2768787}","['pickup', 'delivery']",$$,"{'address1': '9619 Fairfax Blvd', 'address2': '', 'address3': None, 'city': 'Fairfax', 'zip_code': '22030', 'country': 'US', 'state': 'VA', 'display_address': ['9619 Fairfax Blvd', 'Fairfax, VA 22030']}",+15714592875,(571) 459-2875,3449.7824032548215,"['9619 Fairfax Blvd', 'Fairfax, VA 22030']",VA,Fairfax,22030,"['Korean', 'Barbeque']",Korean,Barbeque,,pickup,delivery,
5,ZaY1lHAERL3D3Zs16CH-NQ,havabite-eatery-fairfax-2,Havabite Eatery,https://s3-media2.fl.yelpcdn.com/bphoto/Fllm5E6NNUPdU1cm9x2Akg/o.jpg,False,https://www.yelp.com/biz/havabite-eatery-fairfax-2?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,308,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 38.846385, 'longitude': -77.305939}","['pickup', 'delivery']",$$,"{'address1': '10416 Main St', 'address2': '', 'address3': '', 'city': 'Fairfax', 'zip_code': '22030', 'country': 'US', 'state': 'VA', 'display_address': ['10416 Main St', 'Fairfax, VA 22030']}",+17035912244,(703) 591-2244,1378.560424566982,"['10416 Main St', 'Fairfax, VA 22030']",VA,Fairfax,22030,"['Greek', 'Pizza', 'Italian']",Greek,Pizza,Italian,pickup,delivery,
6,NRagjbNgImkw952His-QeA,bartaco-mosaic-fairfax,Bartaco Mosaic,https://s3-media4.fl.yelpcdn.com/bphoto/sVuB-_Fuv_7mHiBC6ZwIPQ/o.jpg,False,https://www.yelp.com/biz/bartaco-mosaic-fairfax?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,679,"[{'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 38.871345, 'longitude': -77.23046}",['delivery'],$$,"{'address1': '2920 District Ave', 'address2': 'Ste 120', 'address3': '', 'city': 'Fairfax', 'zip_code': '22031', 'country': 'US', 'state': 'VA', 'display_address': ['2920 District Ave', 'Ste 120', 'Fairfax, VA 22031']}",+15715498226,(571) 549-8226,7560.195211021971,"['2920 District Ave', 'Ste 120', 'Fairfax, VA 22031']",VA,Fairfax,22031,['Tacos'],Tacos,,,delivery,,
7,Eg1bJ8xPSC4gvXJpRpv10Q,california-shabu-shabu-fairfax,California Shabu Shabu,https://s3-media2.fl.yelpcdn.com/bphoto/lU2BU5mZJvVbf8Tri0-AFw/o.jpg,False,https://www.yelp.com/biz/california-shabu-shabu-fairfax?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,332,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'hotpot', 'title': 'Hot Pot'}]",4.5,"{'latitude': 38.869541646777, 'longitude': -77.2609325337295}",['delivery'],$$,"{'address1': '3081 Nutley St', 'address2': '', 'address3': '', 'city': 'Fairfax', 'zip_code': '22031', 'country': 'US', 'state': 'VA', 'display_address': ['3081 Nutley St', 'Fairfax, VA 22031']}",+15712102252,(571) 210-2252,4958.712100481281,"['3081 Nutley St', 'Fairfax, VA 22031']",VA,Fairfax,22031,"['Japanese', 'Hot Pot']",Japanese,Hot Pot,,delivery,,
8,ErRkKZKzGJZ0qS6E7Gz55g,pomodoro-fairfax,Pomodoro,https://s3-media1.fl.yelpcdn.com/bphoto/8IeXE_gu4JKrvyvctsfhdg/o.jpg,False,https://www.yelp.com/biz/pomodoro-fairfax?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,536,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 38.86705, 'longitude': -77.36806}",['delivery'],$$,"{'address1': '12152 Fairfax Towne Ctr', 'address2': '', 'address3': '', 'city': 'Fairfax', 'zip_code': '22033', 'country': 'US', 'state': 'VA', 'display_address': ['12152 Fairfax Towne Ctr', 'Fairfax, VA 22033']}",+17032737405,(703) 273-7405,4700.199300283977,"['12152 Fairfax Towne Ctr', 'Fairfax, VA 22033']",VA,Fairfax,22033,"['Pizza', 'Italian']",Pizza,Italian,,delivery,,
9,DtU_GcDsnOpOcowgaVgf0Q,sushi-prince-fairfax,Sushi Prince,https://s3-media4.fl.yelpcdn.com/bphoto/uvrrim3cKtSwb1SsUt8mdQ/o.jpg,False,https://www.yelp.com/biz/sushi-prince-fairfax?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,834,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.0,"{'latitude': 38.8452632, 'longitude': -77.3010526}",['delivery'],$$,"{'address1': '10256 Main St', 'address2': '', 'address3': '', 'city': 'Fairfax', 'zip_code': '22030', 'country': 'US', 'state': 'VA', 'display_address': ['10256 Main St', 'Fairfax, VA 22030']}",+17033830588,(703) 383-0588,1757.7915925919422,"['10256 Main St', 'Fairfax, VA 22030']",VA,Fairfax,22030,"['Japanese', 'Sushi Bars']",Japanese,Sushi Bars,,delivery,,
